site_url,author,headline,language,country,type,
foxnews.com,Andrew O'Reilly,"Bikini baristas turn men into Harvey Weinsteins, Washington city claims",english,United States,legitimate,
foxnews.com,Joseph Weber,"Al Franken's resignation sought by prominent liberal groups, as new claims emerge",english,United States,legitimate,
foxnews.com,Christopher Carbone,China jails prominent human rights lawyer for 2 years for 'inciting subversion',english,United States,legitimate,
foxnews.com,Howard Kurtz,"Charlie Rose, Al Franken and Roy Moore: The harassment allegations continue",english,United States,legitimate,
foxnews.com,Juan Williams,Juan Williams: Democrats and the politics of impeaching Trump,english,United States,legitimate,
foxnews.com,Mike Baker,Common ground is pretty barren right now in America -- except at Buzzy's,english,United States,legitimate,
foxnews.com,Naomi Schaefer Riley,"Hey, Kirsten Gillibrand - a lot of us knew what Bill Clinton did was wrong back in the 1990s",english,United States,legitimate,
foxnews.com,Marc Thiessen,"Marc Thiessen: Yes, the Clintons should be investigated",english,United States,legitimate,
foxnews.com,Lukas Mikelionis,Trump crackdown on sanctuary cities permanently blocked by federal judge,english,United States,legitimate,
foxnews.com,Ben Evansky,Exclusive: Lawmakers call on Trump administration to outlaw Muslim Brotherhood with new strategy,english,United States,legitimate,
foxnews.com,Kaitlyn Schallhorn,"From Trump to Clinton, how US presidents have dealt with North Korea",english,United States,legitimate,
foxnews.com,Liz Peek,Hillary is toast: Scandals finally catch up with Clintons,english,United States,legitimate,
foxnews.com,Brooke Singman,"Lois Lerner wants IRS testimony sealed forever, fearing death threats",english,United States,legitimate,
foxnews.com,Kaitlyn Schallhorn,"Trump's nicknames for rivals, from 'Rocket Man' to 'Crooked Hillary'",english,United States,legitimate,
foxnews.com,Brooke Singman,Trump hits Raiders' Marshawn Lynch for standing only for Mexican anthem; suggests suspension,english,United States,legitimate,
foxnews.com,Brett Velicovich,Elephant trophies? Seriously? This is what Washington is spending its time on?,english,United States,legitimate,
foxnews.com,Bruce Riley Ashford,Trump should welcome Zimbabwe's Mugabe ouster as an opportunity for human rights,english,United States,legitimate,
foxnews.com,Nicole Darrah,"Trump reignites feud with Flake, predicts he'll vote no on tax cuts",english,United States,legitimate,
foxnews.com,Chuck DeVore,Does your gas and electricity cost too much? You can thank liberals for that,english,United States,legitimate,
foxnews.com,Joseph Weber,"Franken reportedly won't resign, amid more congressional calls  to deal with allegations against him and Roy Moore",english,United States,legitimate,
foxnews.com,Joseph Weber,"Trump dunks on UCLA star's controversial father, says he should have left players 'in jail'",english,United States,legitimate,
foxnews.com,Ted Squires,"A health-care plan from 2,000 years ago could help America today",english,United States,legitimate,
foxnews.com,Gregg Re,"Zimbabwe's Mugabe, army commander to negotiate leader's exit",english,United States,legitimate,
foxnews.com,Gregg Re,Community organizer elected New Orleans' first woman mayor,english,United States,legitimate,
foxnews.com,Gregg Re,Ex-DMV worker: New York Gov. Cuomo ignored sex assault claims,english,United States,legitimate,
foxnews.com,Samuel Chamberlain,"Jeff Flake: GOP is 'toast' if it becomes party of Trump, Moore",english,United States,legitimate,
foxnews.com,Alex Pappas,"Alabama Democrat Doug Jones denies being an 'ultra-liberal,' says he opposes Trump's border wall",english,United States,legitimate,
foxnews.com,Dan Gainor,"Moore, Franken, creepy Biden and other horrendous media fiascos",english,United States,legitimate,
foxnews.com,Steve Kurtz,"Dear Taylor Swift, thanks for NOT telling me about your politics",english,United States,legitimate,
foxnews.com,Samuel Chamberlain,Alabama Gov. Kay Ivey to vote for Roy Moore in Senate race despite sex allegations,english,United States,legitimate,
foxnews.com,Alex Pappas,Liberal views of Roy Moore's Democratic rival could pose pitfall amid scandal,english,United States,legitimate,
foxnews.com,Chris Stirewalt,A cynics' history of politicized sex scandals,english,United States,legitimate,
foxnews.com,Lauren DeBellis Appell,"Hey Al Franken: No joke, you need to resign",english,United States,legitimate,
foxnews.com,Kaitlyn Schallhorn,"Senate Ethics Committee could soon be busy with Franken, Menendez: Here's what it does",english,United States,legitimate,
foxnews.com,Harry J. Kazianis,A 'preventive' war with North Korea would be total hell. Here's why,english,United States,legitimate,
foxnews.com,Alex Pappas,Hillary Clinton questions 'legitimacy' of Trump's victory in 2016 election,english,United States,legitimate,
foxnews.com,Kaitlyn Schallhorn,"If Roy Moore is expelled from the Senate, he'd be the first since Civil War-era",english,United States,legitimate,
